chapter_name,section_name,subsection_name,block_type,block_content
Probability,"Sets, Experiment, and Probability",,definition,"[Experiment]
An \textbf{Experiment} is a repeatable task with well defined outcomes."
Probability,"Sets, Experiment, and Probability",,definition,"[Sample Space]
The \textbf{Sample Space} for an experiment is the set of all possible outcomes of that experiment, usually denoted by $\mathcal{S}$"
Probability,"Sets, Experiment, and Probability",,definition,"[Event]
Any subset $E$ of the sample space $\mathcal{S}$ attached to an experiment will be called an \textbf{Event} associated to the experiment."
Probability,"Sets, Experiment, and Probability",,general description,"To say that \textbf{an event $E$ has happened} means ""we performed the experiment, and the outcome of this experiment was in the set $E$""."
Probability,"Sets, Experiment, and Probability",,definition,"[Simple Event]
An event is called a  simple event if it has exactly one outcome in it."
Probability,"Sets, Experiment, and Probability",,example,"Experiments involving coin tosses:
    \begin{enumerate}
\item[(a).] Experiment: Toss a coin once. \\
All possible outcomes are contained in the set $\{H,T\}$, with $H$ representing obtaining a head and $T$ representing obtaining a tail. The total number of outcomes is 2. 
\item[(b).] Experiment: Toss the coin two times.\\
All possible outcomes are contained in the set $\{HH, HT, TH, TT\}$. Number of outcomes is 4. 
\item[(c).] Experiment: Toss the coin 10 times.\\
All possible outcomes are contained in the set $\{HHH\cdots H,\ HTHH\cdots H,\ \cdots\}$. Number of outcomes is $2^{10}=1024$. 
\end{enumerate}"
Probability,"Sets, Experiment, and Probability",,example,"Experiments involving die rolls:
\begin{enumerate}
\item[(a).] Roll a six-sided die once. 
Outcomes are in the set $\{1,2,3,4,5,6\}$.
\item[(b).] Roll the die two times. Outcomes are in the set
\begin{align*}
\left\{
\begin{matrix}
(1,1), & (1,2), & (1,3), & \cdots , & (1,6),\\
(2,1), & (2,2), & (2,3), & \cdots , & (2,6),\\
\vdots & \vdots & \vdots & \ddots  & \vdots\\
(6,1), & (6,2), & (6,3), & \cdots , & (6,6)
\end{matrix}
\right\}\ .
\end{align*}
\end{enumerate}"
Probability,"Sets, Experiment, and Probability",,example,"Consider the following two step experiment: In step 1, we toss a coin; In step 2, we roll a 6-sided die. All possible outcomes are contained in the set
\begin{align*}
\left\{
\begin{matrix}
(H,1), &(H,2), &(H,3),& (H,4),& (H,5),& (H,6), \\
(T,1),& (T,2), &(T,3), &(T,4),& (T,5), &(T,6) \\
\end{matrix}
\right\}\ .
\end{align*}"
Probability,"Sets, Experiment, and Probability",,example,"We can perform an experiment where we pick a random student from campus, and ask if they have walked more than 3000 steps today. All possible outcomes of this experiment are contained in the set $\{``\text{Yes}"",\,``\text{No}""\}$."
Probability,"Sets, Experiment, and Probability",,example,"We can perform an experiment where we pick a student from campus and measure their height. All possible outcomes are contained in the set of positive real numbers, that is $(0, \infty)$."
Probability,"Sets, Experiment, and Probability",,general description,"Our goal is to assign probabilities or chance to events $E$ corresponding to an experiment. Since events and sample spaces are described as sets and subsets, we will first need to remind ourselves of how to work with these mathematical objects."
Probability,Set Theory,,general description,We will need to understand some basics of sets and set operations. We define the operations along with the visual of the the operation using Venn Diagrams.
Probability,Set Theory,,definition,"[Empty Set]
    An an empty set is a set with nothing in it, usually denoted as $\emptyset$."
Probability,Set Theory,,general description,"Let $A,B$ be two sets.\\"
Probability,Set Theory,,definition,"[Containment/Subset]
    We say $A$ is a \textbf{subset} of $B$ if \textit{$x\in A$ \textbf{implies} $x\in B$}, denoted as $A\subset B$.\\"
Probability,Set Theory,,definition,"[Equality]
    We say $A$ \textbf{equals} to $B$ if \textit{$A\subset B$ \textbf{and} $B\subset A$}."
Probability,Set Theory,,definition,"[Complement]
    The \textbf{complement} of A is the set $A^c:=\{x:x\notin A\}$
    \begin{center}
\begin{tikzpicture}
    % Definition of circles
    \def\firstcircle{(0,0) circle (1.5cm)}
    \def\secondcircle{(0:2cm) circle (1.5cm)}
    %
    \colorlet{circle edge}{black!50}
    \colorlet{circle area}{gray!20}
    \begin{scope}[local bounding box = orScope]
      \begin{scope}
        \clip \secondcircle;
        \fill[filled] \secondcircle;
    \end{scope}
    \draw[outline] \firstcircle node {$A$};
    \draw[outline] \secondcircle node {$B$};
    \node[anchor=south] at (orScope.north) {$U$};  
    \end{scope}
    \node[fit=(orScope), fill=gray!20] {};
    \node[fit=(orScope), draw] {};
     \begin{scope}
        \clip \secondcircle;
        \fill[filled] \secondcircle;
    \end{scope}
    \begin{scope}
        \clip \firstcircle;
        \fill[white] \firstcircle;
    \end{scope}
    \draw[outline] \firstcircle node {$A$};
    \draw[outline] \secondcircle node {$B$};
    \node[anchor=south] at (orScope.north) {$U$};  
\end{tikzpicture}
\end{center}"
Probability,Set Theory,,definition,"[Union]
    The \textbf{union} of A and B is the set $A\cup B:=\{x:x\in A \text{ or }x\in B\}$
    \begin{center}
\begin{tikzpicture}
    % Definition of circles
    \def\firstcircle{(0,0) circle (1.5cm)}
    \def\secondcircle{(0:2cm) circle (1.5cm)}
    %
    \colorlet{circle edge}{black!50}
    \colorlet{circle area}{gray!20}
    %
    \begin{scope}[local bounding box = orScope]
    \draw[filled] \firstcircle node {$A$}
                  \secondcircle node {$B$};
    \node[anchor=south] at (orScope.north){$U$};
    \end{scope}
    \node[fit=(orScope), draw] {};% The frame around the scope
\end{tikzpicture}
\end{center}"
Probability,Set Theory,,definition,"[Intersection]
    The \textbf{intersection} of A and B is the set $A\cap B:=\{x:x\in A\text{ and }x\in B\}$
    \begin{center}
\begin{tikzpicture}
    % Definition of circles
    \def\firstcircle{(0,0) circle (1.5cm)}
    \def\secondcircle{(0:2cm) circle (1.5cm)}
    %
    \colorlet{circle edge}{black!50}
    \colorlet{circle area}{gray!20}
    \begin{scope}[local bounding box = orScope]
    \begin{scope}
        \clip \firstcircle;
        \fill[filled] \secondcircle;
    \end{scope}
    \draw[outline] \firstcircle node {$A$};
    \draw[outline] \secondcircle node {$B$};
    \node[anchor=south] at (orScope.north) {$U$};
    \end{scope}
    \node[fit=(orScope), draw] {};
\end{tikzpicture}
\end{center}"
Probability,Set Theory,,definition,"[Difference]
   The \textbf{difference} of set $A$ from set $B$ is defined as $A\setminus B:=\{ x: x\in A\; \text{and}\; x\notin B\}$.
   This is the same as $A\setminus B := A\cap B^c$. 
    \begin{center}
\begin{tikzpicture}
    % Definition of circles
    \def\firstcircle{(0,0) circle (1.5cm)}
    \def\secondcircle{(0:2cm) circle (1.5cm)}
    %
    \colorlet{circle edge}{black!50}
    \colorlet{circle area}{gray!20}
    \begin{scope}[local bounding box = orScope]
    \begin{scope}
        \clip \firstcircle;
        \fill[filled] \firstcircle;
    \end{scope}
    \begin{scope}
        \clip \secondcircle;
        \fill[white] \secondcircle;
    \end{scope}
    \draw[outline] \firstcircle node {$A$};
    \draw[outline] \secondcircle node {$B$};
    \node[anchor=south] at (orScope.north) {$U$};
    \end{scope}
    \node[fit=(orScope), draw] {};
\end{tikzpicture}
\end{center}"
Probability,Set Theory,,definition,"[Disjoint Sets/Mutually Exclusive]
$A$ and $B$ are said to be \textbf{disjoint} if $A\cap B=\emptyset$."
Probability,Set Theory,,general description,"We will often have to work with an infinite collection of sets, to do so, we will first need to label the sets using an ""indexing set"". Given a set $\Gamma$, a collection of sets indexed by $\Gamma$ will be denoted by $\{A_\alpha\}_{\alpha\in \Gamma}$. 
\\
A set is \textbf{countable} if there is a one-to-one correspondence with its elements, and the set of natural number $\mathbb{N}= \{1, 2, 3, 4, \dots\}$. 
\\

Let $\{A_i\}_{i\in\mathbb{N}}$ be a countable collection of sets."
Probability,Set Theory,,definition,"[Pairwise Disjoint Collection]
We say $\{A_i\}_{i\in\mathbb{N}}$ is a collection of pairwise disjoint sets if $A_i\cap A_j=\emptyset$ for all $i\neq j$"
Probability,Set Theory,,definition,"[Partition]
A collection $\{A_i\}_{i\in\mathbb{N}}$ is said to be a \textbf{partition} of $\mathcal{S}$ if $\{A_i\}_{i\in\mathbb{N}}$ are pairwise disjoint \textbf{and} $\mathcal{S}=\bigcup_{i=1}^{\infty}A_i$"
